month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-01,WOODLANDS,4 ROOM,792,WOODLANDS AVE 6,10 TO 12,101,Model A,1997,79 years 10 months,388888
2017-03,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,90,Model A2,1998,80 years 05 months,330000
2017-03,WOODLANDS,4 ROOM,719,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,79 years 02 months,388000
2017-05,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,90,Model A2,1998,80 years 03 months,318000
2017-05,WOODLANDS,4 ROOM,758,WOODLANDS AVE 6,10 TO 12,103,Model A,1998,79 years 09 months,325000
2017-07,WOODLANDS,4 ROOM,720,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,78 years 10 months,382000
2017-07,WOODLANDS,4 ROOM,718,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,79 years,385000
2017-08,WOODLANDS,4 ROOM,760,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,79 years 06 months,320000
2017-09,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,92,Model A2,1998,79 years 11 months,308000
2017-09,WOODLANDS,4 ROOM,762,WOODLANDS AVE 6,10 TO 12,103,Model A,1998,79 years 05 months,325000
2017-09,WOODLANDS,4 ROOM,791,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,79 years 03 months,368888
2017-10,WOODLANDS,4 ROOM,725,WOODLANDS AVE 6,10 TO 12,103,Model A,1997,78 years 09 months,337000
2017-10,WOODLANDS,4 ROOM,723,WOODLANDS AVE 6,10 TO 12,101,Model A,1997,78 years 09 months,350000
2018-01,WOODLANDS,4 ROOM,761,WOODLANDS AVE 6,10 TO 12,102,Model A,1998,79 years 01 month,326000
2018-01,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,96,Model A2,1998,79 years 07 months,330000
2018-01,WOODLANDS,4 ROOM,724,WOODLANDS AVE 6,10 TO 12,102,Model A,1997,78 years 09 months,333888
2018-05,WOODLANDS,4 ROOM,759,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,79 years,308000
2018-05,WOODLANDS,4 ROOM,763,WOODLANDS AVE 6,10 TO 12,102,Model A,1998,78 years 11 months,318000
2018-07,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,90,Model A2,1998,79 years 01 month,312000
2018-09,WOODLANDS,4 ROOM,761,WOODLANDS AVE 6,10 TO 12,102,Model A,1998,78 years 05 months,325000
2018-09,WOODLANDS,4 ROOM,719,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,77 years 09 months,373000
2018-11,WOODLANDS,4 ROOM,791,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,78 years,338000
2018-12,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,92,Model A2,1998,78 years 09 months,307000
2019-03,WOODLANDS,4 ROOM,761,WOODLANDS AVE 6,10 TO 12,103,Model A,1998,78 years,316000
2019-03,WOODLANDS,4 ROOM,680,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,78 years 05 months,400000
2019-06,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,90,Model A2,1998,78 years 03 months,318000
2019-11,WOODLANDS,4 ROOM,720,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,76 years 07 months,372000
2019-11,WOODLANDS,4 ROOM,720,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,76 years 06 months,373000
2019-11,WOODLANDS,4 ROOM,719,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,76 years 07 months,375000
2019-12,WOODLANDS,4 ROOM,793,WOODLANDS AVE 6,10 TO 12,100,Model A,1997,76 years 11 months,365000
2020-01,WOODLANDS,4 ROOM,678,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,77 years 07 months,395000
2020-03,WOODLANDS,4 ROOM,677,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,77 years 05 months,410000
2020-07,WOODLANDS,4 ROOM,626,WOODLANDS AVE 6,10 TO 12,90,Model A2,1998,77 years 01 month,300000
2020-08,WOODLANDS,4 ROOM,680,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,77 years,425888
2021-01,WOODLANDS,4 ROOM,626,WOODLANDS AVE 6,10 TO 12,90,Model A2,1998,76 years 08 months,340000
2021-01,WOODLANDS,4 ROOM,679,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,76 years 08 months,420000
2021-04,WOODLANDS,4 ROOM,724,WOODLANDS AVE 6,10 TO 12,102,Model A,1997,75 years 06 months,385000
2021-05,WOODLANDS,4 ROOM,724,WOODLANDS AVE 6,10 TO 12,102,Model A,1997,75 years 04 months,418000
2021-08,WOODLANDS,4 ROOM,627,WOODLANDS AVE 6,10 TO 12,90,Model A2,1998,76 years 01 month,378000
