month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-01,JURONG EAST,4 ROOM,310,JURONG EAST ST 32,10 TO 12,105,Model A,1985,67 years 01 month,420000
2017-01,JURONG EAST,4 ROOM,288E,JURONG EAST ST 21,10 TO 12,100,Model A,2000,82 years 02 months,520000
2017-02,JURONG EAST,4 ROOM,52,TEBAN GDNS RD,10 TO 12,83,Simplified,1987,69 years 01 month,355000
2017-02,JURONG EAST,4 ROOM,282,TOH GUAN RD,10 TO 12,90,Model A2,1998,80 years 10 months,425000
2017-04,JURONG EAST,4 ROOM,53,TEBAN GDNS RD,10 TO 12,83,Simplified,1986,68 years 08 months,345000
2017-04,JURONG EAST,4 ROOM,105,JURONG EAST ST 13,10 TO 12,92,New Generation,1993,75 years 04 months,445000
2017-06,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,63 years 01 month,355000
2017-06,JURONG EAST,4 ROOM,217,JURONG EAST ST 21,10 TO 12,92,New Generation,1985,66 years 08 months,415000
2017-07,JURONG EAST,4 ROOM,47,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,67 years 01 month,383500
2017-07,JURONG EAST,4 ROOM,257,JURONG EAST ST 24,10 TO 12,100,New Generation,1983,64 years 06 months,384000
2017-07,JURONG EAST,4 ROOM,341,JURONG EAST AVE 1,10 TO 12,104,Model A,1983,64 years 10 months,425000
2017-08,JURONG EAST,4 ROOM,409,PANDAN GDNS,10 TO 12,97,New Generation,1978,60 years 03 months,360000
2017-08,JURONG EAST,4 ROOM,270,TOH GUAN RD,10 TO 12,101,Model A,1999,80 years 07 months,499000
2017-08,JURONG EAST,4 ROOM,270,TOH GUAN RD,10 TO 12,100,Model A,1999,80 years 07 months,504000
2017-09,JURONG EAST,4 ROOM,41,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,62 years 10 months,380000
2017-09,JURONG EAST,4 ROOM,113,JURONG EAST ST 13,10 TO 12,90,New Generation,1981,62 years 09 months,406888
2017-10,JURONG EAST,4 ROOM,243,JURONG EAST ST 24,10 TO 12,94,New Generation,1983,64 years 04 months,407000
2017-11,JURONG EAST,4 ROOM,282,TOH GUAN RD,10 TO 12,91,Model A2,1998,80 years,480000
2017-11,JURONG EAST,4 ROOM,281,TOH GUAN RD,10 TO 12,101,Model A,1998,80 years 01 month,510000
2017-12,JURONG EAST,4 ROOM,288E,JURONG EAST ST 21,10 TO 12,100,Model A,2000,81 years 03 months,505000
2017-12,JURONG EAST,4 ROOM,243,JURONG EAST ST 24,10 TO 12,94,New Generation,1983,64 years 02 months,389000
2018-01,JURONG EAST,4 ROOM,320,JURONG EAST ST 31,10 TO 12,105,Model A,1984,65 years 10 months,443800
2018-03,JURONG EAST,4 ROOM,112,JURONG EAST ST 13,10 TO 12,90,New Generation,1981,62 years 03 months,420000
2018-04,JURONG EAST,4 ROOM,324,JURONG EAST ST 31,10 TO 12,104,Model A,1984,65 years 06 months,395000
2018-04,JURONG EAST,4 ROOM,316,JURONG EAST ST 32,10 TO 12,105,Model A,1984,65 years 05 months,445000
2018-05,JURONG EAST,4 ROOM,243,JURONG EAST ST 24,10 TO 12,94,New Generation,1983,63 years 10 months,370000
2018-05,JURONG EAST,4 ROOM,288B,JURONG EAST ST 21,10 TO 12,103,Model A,2000,80 years 11 months,513000
2018-06,JURONG EAST,4 ROOM,48,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,66 years 06 months,345000
2018-06,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,62 years 01 month,360000
2018-07,JURONG EAST,4 ROOM,65,TEBAN GDNS RD,10 TO 12,90,Model A,2003,84 years,380000
2018-07,JURONG EAST,4 ROOM,113,JURONG EAST ST 13,10 TO 12,94,New Generation,1981,61 years 11 months,418000
2018-08,JURONG EAST,4 ROOM,414,PANDAN GDNS,10 TO 12,97,New Generation,1978,59 years 02 months,295000
2018-08,JURONG EAST,4 ROOM,408,PANDAN GDNS,10 TO 12,97,New Generation,1978,59 years 04 months,368000
2018-08,JURONG EAST,4 ROOM,309,JURONG EAST ST 32,10 TO 12,103,Model A,1983,63 years 11 months,385000
2018-08,JURONG EAST,4 ROOM,317,JURONG EAST ST 31,10 TO 12,104,Model A,1984,64 years 10 months,435000
2018-09,JURONG EAST,4 ROOM,283,TOH GUAN RD,10 TO 12,90,Model A2,1998,79 years 03 months,432000
2018-09,JURONG EAST,4 ROOM,312,JURONG EAST ST 32,10 TO 12,105,Model A,1984,64 years 11 months,433000
2018-10,JURONG EAST,4 ROOM,414,PANDAN GDNS,10 TO 12,97,New Generation,1978,59 years,349000
2018-10,JURONG EAST,4 ROOM,409,PANDAN GDNS,10 TO 12,100,New Generation,1978,59 years 01 month,350000
2018-10,JURONG EAST,4 ROOM,21,TEBAN GDNS RD,10 TO 12,87,Model A,2013,93 years 11 months,420000
2018-11,JURONG EAST,4 ROOM,218,JURONG EAST ST 21,10 TO 12,91,New Generation,1984,65 years,422000
2018-12,JURONG EAST,4 ROOM,224,JURONG EAST ST 21,10 TO 12,91,New Generation,1984,64 years 11 months,400000
2018-12,JURONG EAST,4 ROOM,229,JURONG EAST ST 21,10 TO 12,91,New Generation,1981,61 years 06 months,385000
2019-01,JURONG EAST,4 ROOM,264,JURONG EAST ST 24,10 TO 12,95,New Generation,1983,63 years 03 months,375000
2019-01,JURONG EAST,4 ROOM,268,TOH GUAN RD,10 TO 12,101,Model A,1999,79 years 02 months,458000
2019-01,JURONG EAST,4 ROOM,282,TOH GUAN RD,10 TO 12,90,Model A2,1998,78 years 10 months,460000
2019-01,JURONG EAST,4 ROOM,265,TOH GUAN RD,10 TO 12,101,Model A,1998,78 years 09 months,484000
2019-02,JURONG EAST,4 ROOM,248,JURONG EAST ST 24,10 TO 12,99,New Generation,1983,63 years 01 month,382000
2019-02,JURONG EAST,4 ROOM,224,JURONG EAST ST 21,10 TO 12,91,New Generation,1984,64 years 08 months,385000
2019-02,JURONG EAST,4 ROOM,319,JURONG EAST ST 31,10 TO 12,104,Model A,1984,64 years 06 months,420000
2019-03,JURONG EAST,4 ROOM,64,TEBAN GDNS RD,10 TO 12,90,Model A,2003,83 years 03 months,345000
2019-03,JURONG EAST,4 ROOM,243,JURONG EAST ST 24,10 TO 12,94,New Generation,1983,62 years 11 months,380000
2019-03,JURONG EAST,4 ROOM,329,JURONG EAST AVE 1,10 TO 12,104,Model A,1983,63 years 03 months,398000
2019-03,JURONG EAST,4 ROOM,246,JURONG EAST ST 24,10 TO 12,98,New Generation,1983,62 years 10 months,400000
2019-03,JURONG EAST,4 ROOM,113,JURONG EAST ST 13,10 TO 12,90,New Generation,1981,61 years 03 months,405000
2019-03,JURONG EAST,4 ROOM,280,TOH GUAN RD,10 TO 12,91,Model A2,1998,78 years 06 months,456000
2019-04,JURONG EAST,4 ROOM,414,PANDAN GDNS,10 TO 12,97,New Generation,1978,58 years 06 months,320000
2019-04,JURONG EAST,4 ROOM,328,JURONG EAST ST 31,10 TO 12,105,Model A,1984,64 years 02 months,460000
2019-05,JURONG EAST,4 ROOM,339,JURONG EAST AVE 1,10 TO 12,104,Model A,1983,63 years 02 months,378000
2019-06,JURONG EAST,4 ROOM,402,PANDAN GDNS,10 TO 12,97,New Generation,1978,58 years 05 months,290000
2019-06,JURONG EAST,4 ROOM,25,TEBAN GDNS RD,10 TO 12,99,Model A,1993,73 years 01 month,368000
2019-07,JURONG EAST,4 ROOM,409,PANDAN GDNS,10 TO 12,97,New Generation,1978,58 years 04 months,350000
2019-07,JURONG EAST,4 ROOM,409,PANDAN GDNS,10 TO 12,97,New Generation,1978,58 years 05 months,363000
2019-07,JURONG EAST,4 ROOM,320,JURONG EAST ST 31,10 TO 12,105,Model A,1984,64 years 05 months,418000
2019-08,JURONG EAST,4 ROOM,414,PANDAN GDNS,10 TO 12,100,New Generation,1978,58 years 02 months,325000
2019-08,JURONG EAST,4 ROOM,47,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,65 years,328000
2019-10,JURONG EAST,4 ROOM,409,PANDAN GDNS,10 TO 12,97,New Generation,1978,58 years 01 month,322000
2019-10,JURONG EAST,4 ROOM,258,JURONG EAST ST 24,10 TO 12,98,New Generation,1983,62 years 04 months,360000
2019-10,JURONG EAST,4 ROOM,305,JURONG EAST ST 32,10 TO 12,98,New Generation,1983,62 years 04 months,383000
2019-10,JURONG EAST,4 ROOM,22,TEBAN GDNS RD,10 TO 12,92,Model A,2013,92 years 11 months,408000
2019-11,JURONG EAST,4 ROOM,245,JURONG EAST ST 24,10 TO 12,94,New Generation,1982,61 years 10 months,350000
2019-11,JURONG EAST,4 ROOM,278,TOH GUAN RD,10 TO 12,101,Model A,1998,78 years,472000
2019-12,JURONG EAST,4 ROOM,264,JURONG EAST ST 24,10 TO 12,95,New Generation,1983,62 years 04 months,318000
2019-12,JURONG EAST,4 ROOM,261,JURONG EAST ST 24,10 TO 12,93,New Generation,1983,62 years 03 months,358000
2020-01,JURONG EAST,4 ROOM,305,JURONG EAST ST 32,10 TO 12,98,New Generation,1983,62 years,390000
2020-01,JURONG EAST,4 ROOM,308,JURONG EAST ST 32,10 TO 12,108,Model A,1984,63 years 02 months,375000
2020-03,JURONG EAST,4 ROOM,32,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,60 years 05 months,308000
2020-06,JURONG EAST,4 ROOM,232,JURONG EAST ST 21,10 TO 12,95,New Generation,1982,60 years 09 months,405000
2020-07,JURONG EAST,4 ROOM,274,TOH GUAN RD,10 TO 12,101,Model A,1999,77 years 07 months,455000
2020-08,JURONG EAST,4 ROOM,316,JURONG EAST ST 32,10 TO 12,104,Model A,1984,63 years,430000
2020-08,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,59 years 11 months,340000
2020-09,JURONG EAST,4 ROOM,224,JURONG EAST ST 21,10 TO 12,92,New Generation,1984,63 years 01 month,425000
2020-09,JURONG EAST,4 ROOM,324,JURONG EAST ST 31,10 TO 12,104,Model A,1984,63 years 02 months,430000
2020-09,JURONG EAST,4 ROOM,324,JURONG EAST ST 31,10 TO 12,104,Model A,1984,63 years 01 month,452000
2020-10,JURONG EAST,4 ROOM,320,JURONG EAST ST 31,10 TO 12,105,Model A,1984,63 years 02 months,395000
2020-10,JURONG EAST,4 ROOM,270,TOH GUAN RD,10 TO 12,101,Model A,1999,77 years 06 months,480000
2020-11,JURONG EAST,4 ROOM,339,JURONG EAST AVE 1,10 TO 12,104,Model A,1983,61 years 08 months,400000
2020-11,JURONG EAST,4 ROOM,332,JURONG EAST AVE 1,10 TO 12,106,Model A,1985,64 years,340000
2020-11,JURONG EAST,4 ROOM,316,JURONG EAST ST 32,10 TO 12,104,Model A,1984,62 years 11 months,400000
2020-11,JURONG EAST,4 ROOM,56,TEBAN GDNS RD,10 TO 12,92,Model A,2016,95 years 01 month,440000
2020-12,JURONG EAST,4 ROOM,306,JURONG EAST ST 32,10 TO 12,94,New Generation,1983,61 years 10 months,421000
2020-12,JURONG EAST,4 ROOM,310,JURONG EAST ST 32,10 TO 12,105,Model A,1985,63 years 03 months,360000
2020-12,JURONG EAST,4 ROOM,60,TEBAN GDNS RD,10 TO 12,90,Model A,2003,81 years 09 months,360000
2020-12,JURONG EAST,4 ROOM,271,TOH GUAN RD,10 TO 12,100,Model A,1999,77 years 04 months,529000
2020-12,JURONG EAST,4 ROOM,268,TOH GUAN RD,10 TO 12,102,Model A,1999,77 years 03 months,490000
2021-01,JURONG EAST,4 ROOM,52,TEBAN GDNS RD,10 TO 12,83,Simplified,1987,65 years 03 months,335000
2021-01,JURONG EAST,4 ROOM,341,JURONG EAST AVE 1,10 TO 12,104,Model A,1983,61 years 05 months,420000
2021-02,JURONG EAST,4 ROOM,316,JURONG EAST ST 32,10 TO 12,105,Model A,1984,62 years 07 months,455000
2021-03,JURONG EAST,4 ROOM,41,TEBAN GDNS RD,10 TO 12,103,New Generation,1981,59 years 04 months,395000
2021-03,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,103,New Generation,1981,59 years 04 months,395000
2021-04,JURONG EAST,4 ROOM,62,TEBAN GDNS RD,10 TO 12,90,Model A,2003,81 years 03 months,375000
2021-04,JURONG EAST,4 ROOM,43,TEBAN GDNS RD,10 TO 12,98,New Generation,1985,63 years 05 months,385000
2021-04,JURONG EAST,4 ROOM,339,JURONG EAST AVE 1,10 TO 12,104,Model A,1983,61 years 02 months,438000
2021-06,JURONG EAST,4 ROOM,409,PANDAN GDNS,10 TO 12,97,New Generation,1978,56 years 06 months,387000
2021-06,JURONG EAST,4 ROOM,243,JURONG EAST ST 24,10 TO 12,94,New Generation,1983,60 years 09 months,400000
